t_s,gx,gy,gz,ax,ay,az,roll_ref_deg,pitch_ref_deg
0.150000,2.037857,3.020179,1.241096,-0.316350,0.522336,0.792637,33.7550,18.3872
0.155000,1.920574,2.995418,1.197238,-0.316024,0.546144,0.766326,34.5828,18.9040
0.160000,1.793654,2.981664,1.158962,-0.325511,0.544199,0.781851,35.3830,19.4117
0.165000,1.688139,2.951392,1.129092,-0.361378,0.533748,0.761923,36.1549,19.9100
0.170000,1.567242,2.928146,1.093503,-0.345101,0.563467,0.760633,36.8978,20.3986
0.175000,1.444561,2.907867,1.059545,-0.356035,0.568907,0.727242,37.6113,20.8774
0.180000,1.309218,2.880084,1.033738,-0.369147,0.583904,0.742499,38.2948,21.3461
0.185000,1.192390,2.854601,1.013052,-0.365395,0.583840,0.716209,38.9476,21.8044
0.190000,1.057876,2.828370,0.986653,-0.369743,0.594120,0.717570,39.5692,22.2523
0.195000,0.937291,2.800188,0.973576,-0.388169,0.580505,0.699473,40.1593,22.6893
0.200000,0.804976,2.756729,0.968047,-0.385212,0.597005,0.678650,40.7172,23.1154
0.205000,0.682982,2.733580,0.949370,-0.413634,0.614560,0.706918,41.2426,23.5303
0.210000,0.551158,2.691608,0.939509,-0.419395,0.606681,0.684847,41.7350,23.9338
0.215000,0.419055,2.669690,0.932953,-0.406104,0.620988,0.682630,42.1941,24.3258
0.220000,0.300692,2.626621,0.931881,-0.417197,0.613276,0.664398,42.6194,24.7060
0.225000,0.163320,2.588311,0.916513,-0.417660,0.620726,0.659410,43.0107,25.0742
0.230000,0.035770,2.545132,0.929687,-0.444058,0.614084,0.662731,43.3676,25.4303
0.235000,-0.094465,2.517590,0.926938,-0.429239,0.641385,0.644000,43.6898,25.7742
0.240000,-0.228677,2.473150,0.936729,-0.432623,0.631931,0.650306,43.9771,26.1055
0.245000,-0.364522,2.434380,0.938127,-0.437341,0.625919,0.639360,44.2292,26.4242
0.250000,-0.489162,2.389996,0.942703,-0.454357,0.645212,0.639937,44.4460,26.7302
0.255000,-0.623578,2.359631,0.951162,-0.456009,0.627487,0.646060,44.6272,27.0232
0.260000,-0.749099,2.312159,0.974038,-0.463490,0.616089,0.626440,44.7728,27.3032
0.265000,-0.883418,2.268660,0.994977,-0.442313,0.629138,0.635739,44.8826,27.5699
0.270000,-1.007733,2.224874,1.005024,-0.471846,0.639245,0.626124,44.9565,27.8234
0.275000,-1.151942,2.180080,1.031352,-0.471020,0.616141,0.619221,44.9944,28.0633
0.280000,-1.260583,2.142856,1.055861,-0.467541,0.624035,0.635656,44.9964,28.2897
0.285000,-1.392693,2.097582,1.070940,-0.474582,0.622679,0.616703,44.9625,28.5024
0.290000,-1.521736,2.036912,1.100799,-0.486722,0.610397,0.609225,44.8926,28.7014
0.295000,-1.656797,1.992074,1.121328,-0.485037,0.601756,0.619091,44.7868,28.8864
0.300000,-1.776201,1.946006,1.155734,-0.482347,0.615234,0.612954,44.6452,29.0575
0.305000,-1.890503,1.901117,1.182396,-0.487565,0.617400,0.625335,44.4679,29.2145
0.310000,-2.011575,1.842942,1.209542,-0.467752,0.607829,0.637376,44.2550,29.3574
0.315000,-2.138153,1.797117,1.245109,-0.486174,0.610100,0.632746,44.0068,29.4861
0.320000,-2.255166,1.741549,1.274428,-0.494767,0.602552,0.641966,43.7234,29.6006
0.325000,-2.369710,1.677436,1.302995,-0.488688,0.588072,0.639845,43.4051,29.7007
0.330000,-2.487762,1.625050,1.340405,-0.490435,0.580199,0.622561,43.0520,29.7865
0.335000,-2.601841,1.569417,1.376402,-0.490826,0.578167,0.612667,42.6646,29.8578
0.340000,-2.717872,1.515220,1.412362,-0.510710,0.589148,0.637251,42.2430,29.9148
0.345000,-2.826823,1.443371,1.439879,-0.491963,0.583724,0.643017,41.7877,29.9572
0.350000,-2.934185,1.393819,1.479625,-0.509550,0.572120,0.661517,41.2990,29.9852
0.355000,-3.040383,1.330329,1.508766,-0.503997,0.553461,0.666751,40.7772,29.9987
0.360000,-3.145513,1.275292,1.549218,-0.508968,0.538687,0.671609,40.2229,29.9976
0.365000,-3.253109,1.217704,1.571633,-0.507308,0.555819,0.663637,39.6364,29.9821
0.370000,-3.347668,1.145260,1.620082,-0.489821,0.534364,0.676504,39.0182,29.9520
0.375000,-3.441063,1.069714,1.648691,-0.497002,0.524817,0.664745,38.3688,29.9075
0.380000,-3.534551,1.011016,1.670528,-0.508707,0.548057,0.688568,37.6888,29.8485
0.385000,-3.629299,0.938806,1.705849,-0.496664,0.500750,0.703492,36.9786,29.7751
0.390000,-3.722966,0.869676,1.738134,-0.509170,0.529198,0.700526,36.2389,29.6873
0.395000,-3.800544,0.793794,1.763645,-0.503595,0.511135,0.712739,35.4702,29.5851
0.400000,-3.896560,0.713521,1.793848,-0.492437,0.494517,0.721091,34.6731,29.4686
0.405000,-3.974819,0.629705,1.816749,-0.479997,0.495872,0.715293,33.8483,29.3379
0.410000,-4.050394,0.579399,1.841529,-0.496245,0.464265,0.735962,32.9965,29.1930
0.415000,-4.133729,0.481162,1.866120,-0.478131,0.473012,0.749068,32.1183,29.0339
0.420000,-4.208458,0.402237,1.889798,-0.477218,0.456427,0.736218,31.2144,28.8608
0.425000,-4.278216,0.334444,1.895421,-0.469342,0.446758,0.757910,30.2856,28.6738
0.430000,-4.342885,0.246799,1.922915,-0.454848,0.432029,0.758036,29.3325,28.4729
0.435000,-4.398924,0.169943,1.932292,-0.479401,0.404875,0.770289,28.3560,28.2582
0.440000,-4.463972,0.083390,1.954225,-0.466933,0.402960,0.792608,27.3569,28.0299
0.445000,-4.516886,0.000770,1.954017,-0.453699,0.387060,0.800360,26.3358,27.7880
0.450000,-4.574182,-0.083873,1.970836,-0.474747,0.395595,0.791692,25.2938,27.5326
0.455000,-4.627153,-0.176027,1.958209,-0.467837,0.378018,0.807249,24.2315,27.2640
0.460000,-4.685355,-0.257226,1.969055,-0.463935,0.363875,0.821150,23.1498,26.9822
0.465000,-4.723938,-0.337377,1.969705,-0.445614,0.347690,0.824559,22.0496,26.6873
0.470000,-4.762231,-0.427564,1.953088,-0.422389,0.314007,0.821821,20.9318,26.3795
0.475000,-4.803782,-0.503166,1.949390,-0.433748,0.307671,0.850442,19.7973,26.0589
0.480000,-4.831993,-0.592835,1.944583,-0.443343,0.278067,0.863870,18.6469,25.7258
0.485000,-4.863756,-0.682416,1.938703,-0.442494,0.269252,0.864652,17.4816,25.3802
0.490000,-4.899426,-0.775402,1.906293,-0.416566,0.254784,0.874843,16.3024,25.0224
0.495000,-4.920894,-0.852844,1.893556,-0.421281,0.247140,0.888175,15.1101,24.6524
0.500000,-4.936699,-0.932961,1.872581,-0.413796,0.221766,0.860927,13.9058,24.2705
0.505000,-4.962249,-1.016986,1.841845,-0.396742,0.193453,0.889542,12.6903,23.8769
0.510000,-4.974346,-1.094619,1.811123,-0.406145,0.188043,0.894585,11.4647,23.4717
0.515000,-4.983224,-1.181641,1.772874,-0.375132,0.168609,0.905135,10.2299,23.0552
0.520000,-4.985512,-1.257520,1.731748,-0.364925,0.166517,0.906722,8.9869,22.6275
0.525000,-4.994156,-1.326663,1.701963,-0.378185,0.132228,0.903361,7.7368,22.1889
0.530000,-4.983475,-1.411119,1.652579,-0.383661,0.088925,0.923280,6.4805,21.7396
0.535000,-4.983966,-1.481262,1.615290,-0.334384,0.065743,0.936699,5.2190,21.2797
0.540000,-4.965622,-1.556714,1.560519,-0.357779,0.051150,0.921710,3.9533,20.8096
0.545000,-4.965587,-1.625694,1.514737,-0.346522,0.043971,0.946681,2.6845,20.3294
0.550000,-4.956489,-1.685835,1.460302,-0.347529,0.010979,0.957498,1.4135,19.8394
0.555000,-4.932923,-1.758237,1.399305,-0.314830,-0.004196,0.942056,0.1414,19.3397
0.560000,-4.917281,-1.815801,1.346854,-0.315897,-0.013315,0.937937,-1.1309,18.8307
0.565000,-4.898614,-1.871659,1.288362,-0.316418,-0.033649,0.948526,-2.4022,18.3127
0.570000,-4.849543,-1.937919,1.222411,-0.283937,-0.049673,0.939238,-3.6716,17.7857
0.575000,-4.819265,-1.990342,1.156734,-0.288973,-0.090145,0.957760,-4.9380,17.2502
0.580000,-4.786512,-2.045588,1.090569,-0.282439,-0.111306,0.954013,-6.2006,16.7063
0.585000,-4.747832,-2.096631,1.020069,-0.284431,-0.138668,0.946148,-7.4581,16.1543
0.590000,-4.704945,-2.134337,0.948806,-0.273851,-0.139201,0.950242,-8.7097,15.5945
0.595000,-4.659059,-2.172703,0.887236,-0.260858,-0.175697,0.949483,-9.9544,15.0272
0.600000,-4.616038,-2.214831,0.807060,-0.235693,-0.187445,0.979816,-11.1910,14.4526
0.605000,-4.562940,-2.248991,0.721784,-0.226129,-0.212245,0.953491,-12.4188,13.8710
0.610000,-4.510820,-2.286402,0.654152,-0.228483,-0.218848,0.944196,-13.6366,13.2827
0.615000,-4.465394,-2.313628,0.573358,-0.245224,-0.268204,0.951816,-14.8435,12.6880
0.620000,-4.396002,-2.337128,0.513460,-0.212805,-0.262106,0.949935,-16.0385,12.0872
0.625000,-4.329746,-2.363491,0.425356,-0.197912,-0.283931,0.949976,-17.2208,11.4805
0.630000,-4.269039,-2.379363,0.347981,-0.191628,-0.307727,0.920603,-18.3892,10.8683
0.635000,-4.182531,-2.397914,0.276332,-0.176523,-0.338949,0.927974,-19.5430,10.2508
0.640000,-4.117680,-2.410773,0.206166,-0.164835,-0.344524,0.918844,-20.6811,9.6283
0.645000,-4.041771,-2.420052,0.119764,-0.160725,-0.363542,0.913413,-21.8027,9.0012
0.650000,-3.971569,-2.425010,0.061493,-0.150388,-0.385311,0.920540,-22.9069,8.3697
0.655000,-3.876374,-2.428232,-0.020446,-0.137382,-0.400350,0.918640,-23.9927,7.7342
0.660000,-3.804694,-2.420557,-0.087953,-0.123063,-0.438890,0.901723,-25.0594,7.0950
0.665000,-3.727493,-2.414692,-0.165302,-0.110504,-0.443026,0.894096,-26.1061,6.4523
0.670000,-3.625114,-2.420411,-0.232748,-0.103882,-0.438048,0.869710,-27.1318,5.8065
0.675000,-3.546266,-2.400432,-0.307349,-0.085188,-0.473675,0.870185,-28.1359,5.1579
0.680000,-3.454855,-2.391604,-0.373416,-0.079952,-0.472907,0.873143,-29.1175,4.5068
0.685000,-3.356553,-2.383630,-0.427729,-0.077063,-0.505414,0.841376,-30.0758,3.8535
0.690000,-3.266713,-2.379639,-0.498582,-0.055578,-0.520422,0.862554,-31.0101,3.1983
0.695000,-3.164997,-2.346503,-0.566443,-0.068752,-0.519433,0.843278,-31.9196,2.5416
0.700000,-3.067387,-2.332740,-0.630550,-0.012331,-0.545630,0.839051,-32.8036,1.8837
0.705000,-2.971475,-2.307222,-0.686202,-0.025786,-0.560891,0.837798,-33.6613,1.2249
0.710000,-2.858500,-2.280318,-0.738358,-0.020683,-0.562980,0.814664,-34.4922,0.5655
0.715000,-2.753664,-2.258527,-0.797784,0.007111,-0.579690,0.832373,-35.2955,-0.0942
0.720000,-2.642792,-2.221153,-0.857105,0.003406,-0.585195,0.808735,-36.0705,-0.7539
0.725000,-2.524546,-2.198233,-0.899694,0.025335,-0.601263,0.809400,-36.8167,-1.4132
0.730000,-2.429562,-2.166401,-0.945232,0.043691,-0.613279,0.794519,-37.5335,-2.0718
0.735000,-2.325745,-2.144218,-0.987461,0.060344,-0.621410,0.776719,-38.2203,-2.7294
0.740000,-2.208200,-2.104231,-1.043758,0.040626,-0.625391,0.770286,-38.8766,-3.3857
0.745000,-2.098180,-2.069517,-1.076302,0.095684,-0.626681,0.762153,-39.5017,-4.0403
0.750000,-1.977203,-2.029026,-1.119683,0.079972,-0.623077,0.743494,-40.0953,-4.6930
0.755000,-1.862335,-2.004989,-1.154896,0.087860,-0.634992,0.782115,-40.6568,-5.3435
0.760000,-1.748195,-1.955773,-1.178439,0.104773,-0.650645,0.748889,-41.1859,-5.9913
0.765000,-1.628043,-1.927616,-1.213225,0.093377,-0.655144,0.724182,-41.6820,-6.6362
0.770000,-1.511598,-1.894240,-1.240914,0.128727,-0.662776,0.741449,-42.1447,-7.2780
0.775000,-1.404903,-1.850886,-1.270467,0.149832,-0.674713,0.722172,-42.5738,-7.9162
0.780000,-1.271708,-1.814564,-1.287696,0.160139,-0.679894,0.736879,-42.9689,-8.5506
0.785000,-1.157703,-1.778856,-1.307677,0.151554,-0.676775,0.720641,-43.3296,-9.1808
0.790000,-1.038815,-1.738646,-1.330122,0.163612,-0.675232,0.722204,-43.6557,-9.8066
0.795000,-0.906839,-1.695439,-1.345922,0.177773,-0.681594,0.726993,-43.9469,-10.4277
0.800000,-0.795913,-1.668340,-1.364419,0.181894,-0.695097,0.694856,-44.2029,-11.0437
0.805000,-0.677121,-1.637222,-1.377397,0.201379,-0.682052,0.672649,-44.4236,-11.6544
0.810000,-0.568011,-1.588383,-1.385377,0.195673,-0.682604,0.682494,-44.6088,-12.2595
0.815000,-0.434762,-1.545952,-1.389346,0.211989,-0.682986,0.698728,-44.7584,-12.8586
0.820000,-0.315416,-1.511667,-1.408257,0.223965,-0.686637,0.691000,-44.8722,-13.4515
0.825000,-0.203532,-1.467330,-1.401067,0.233208,-0.679423,0.689495,-44.9500,-14.0379
0.830000,-0.082822,-1.435166,-1.407145,0.256655,-0.682353,0.675220,-44.9920,-14.6175
0.835000,0.046892,-1.407990,-1.414671,0.274480,-0.680357,0.690243,-44.9980,-15.1900
0.840000,0.158332,-1.355371,-1.403046,0.282330,-0.681814,0.676020,-44.9680,-15.7552
0.845000,0.273829,-1.321050,-1.398474,0.273497,-0.674439,0.693421,-44.9021,-16.3128
0.850000,0.391043,-1.294863,-1.407122,0.309206,-0.650944,0.681160,-44.8003,-16.8625
0.855000,0.506786,-1.260037,-1.400885,0.303412,-0.679953,0.686394,-44.6627,-17.4040
0.860000,0.618545,-1.219071,-1.396578,0.312169,-0.654879,0.680526,-44.4893,-17.9371
0.865000,0.728354,-1.181817,-1.394040,0.322637,-0.652792,0.675543,-44.2804,-18.4616
0.870000,0.842580,-1.150885,-1.379201,0.325256,-0.645971,0.686435,-44.0361,-18.9771
0.875000,0.955239,-1.115873,-1.370576,0.337391,-0.658317,0.668034,-43.7566,-19.4834
0.880000,1.071770,-1.077148,-1.358562,0.349874,-0.662728,0.675502,-43.4422,-19.9804
0.885000,1.170482,-1.048804,-1.349019,0.358834,-0.649357,0.667455,-43.0930,-20.4676
0.890000,1.292969,-1.015631,-1.331952,0.369420,-0.627942,0.689450,-42.7093,-20.9450
0.895000,1.385752,-0.975353,-1.320532,0.375292,-0.627874,0.693198,-42.2915,-21.4122
0.900000,1.503967,-0.950721,-1.307542,0.367039,-0.608332,0.671073,-41.8399,-21.8691
0.905000,1.603052,-0.910013,-1.294736,0.386135,-0.626315,0.688436,-41.3549,-22.3154
0.910000,1.691714,-0.884099,-1.285533,0.376847,-0.618668,0.702944,-40.8368,-22.7509
0.915000,1.803778,-0.841307,-1.264012,0.403220,-0.597305,0.703988,-40.2861,-23.1754
0.920000,1.894394,-0.813118,-1.254607,0.398631,-0.604571,0.712344,-39.7031,-23.5887
0.925000,1.986169,-0.781452,-1.227845,0.402362,-0.569331,0.701344,-39.0884,-23.9905
0.930000,2.090743,-0.746765,-1.216955,0.427251,-0.559428,0.726122,-38.4425,-24.3808
0.935000,2.176031,-0.707678,-1.195133,0.410721,-0.560486,0.705325,-37.7658,-24.7593
0.940000,2.263216,-0.684021,-1.185376,0.414293,-0.560548,0.732814,-37.0590,-25.1258
0.945000,2.355667,-0.649307,-1.171729,0.438269,-0.535342,0.732394,-36.3225,-25.4802
0.950000,2.435310,-0.614646,-1.158222,0.428575,-0.519714,0.716304,-35.5570,-25.8223
0.955000,2.524656,-0.582987,-1.133894,0.417303,-0.523941,0.736443,-34.7630,-26.1518
0.960000,2.607649,-0.551701,-1.122892,0.435623,-0.489955,0.729580,-33.9413,-26.4687
0.965000,2.679142,-0.515460,-1.113007,0.464229,-0.490565,0.753750,-33.0925,-26.7729
0.970000,2.756872,-0.476824,-1.105132,0.447192,-0.461557,0.756246,-32.2171,-27.0640
0.975000,2.835822,-0.445694,-1.083816,0.474812,-0.466626,0.759645,-31.3161,-27.3421
0.980000,2.895538,-0.415168,-1.076244,0.442573,-0.421839,0.764197,-30.3900,-27.6070
0.985000,2.974558,-0.379105,-1.070040,0.478778,-0.435105,0.792254,-29.4396,-27.8585
0.990000,3.035799,-0.345233,-1.053247,0.480185,-0.416950,0.766340,-28.4657,-28.0965
0.995000,3.087424,-0.317237,-1.039431,0.481102,-0.416457,0.768919,-27.4690,-28.3209
1.000000,3.160623,-0.277532,-1.038271,0.473495,-0.373591,0.787816,-26.4503,-28.5317
1.005000,3.216975,-0.240438,-1.033245,0.489617,-0.366547,0.777616,-25.4106,-28.7286
1.010000,3.265109,-0.220104,-1.019456,0.471010,-0.348952,0.802878,-24.3505,-28.9117
1.015000,3.323661,-0.167170,-1.020977,0.467887,-0.354985,0.799979,-23.2709,-29.0808
1.020000,3.360909,-0.131819,-1.017377,0.484720,-0.316423,0.814960,-22.1727,-29.2358
1.025000,3.410282,-0.102133,-1.022939,0.483482,-0.303755,0.820526,-21.0568,-29.3767
1.030000,3.458593,-0.077365,-1.018368,0.496946,-0.281711,0.814917,-19.9241,-29.5034
1.035000,3.490621,-0.035139,-1.018571,0.487108,-0.275471,0.841512,-18.7755,-29.6158
1.040000,3.524755,-0.010036,-1.024093,0.508899,-0.270428,0.825723,-17.6118,-29.7138
1.045000,3.568714,0.026198,-1.037610,0.487089,-0.244004,0.834755,-16.4341,-29.7976
1.050000,3.596439,0.055779,-1.044143,0.500247,-0.241975,0.827833,-15.2432,-29.8669
1.055000,3.616261,0.094963,-1.048348,0.511700,-0.216609,0.857256,-14.0401,-29.9217
1.060000,3.644488,0.122987,-1.065971,0.494602,-0.192488,0.852148,-12.8259,-29.9621
1.065000,3.664557,0.156397,-1.074432,0.502177,-0.184734,0.868634,-11.6013,-29.9880
1.070000,3.677972,0.193043,-1.087598,0.514350,-0.149283,0.849911,-10.3675,-29.9994
1.075000,3.690869,0.210568,-1.106882,0.499994,-0.144377,0.858347,-9.1254,-29.9963
1.080000,3.705116,0.248053,-1.126586,0.492247,-0.114373,0.851308,-7.8760,-29.9787
1.085000,3.712632,0.262467,-1.138717,0.514410,-0.095760,0.860759,-6.6204,-29.9466
1.090000,3.717880,0.294277,-1.164776,0.491150,-0.075821,0.874465,-5.3594,-29.9000
1.095000,3.734458,0.322639,-1.196762,0.490167,-0.074242,0.869948,-4.0941,-29.8389
1.100000,3.728040,0.352912,-1.227168,0.499562,-0.041679,0.859332,-2.8256,-29.7634
1.105000,3.708391,0.373582,-1.255748,0.487817,-0.025407,0.853164,-1.5548,-29.6736
1.110000,3.708740,0.393607,-1.291029,0.482640,-0.017144,0.877012,-0.2827,-29.5693
1.115000,3.702581,0.422065,-1.314179,0.499778,0.016835,0.876569,0.9895,-29.4508
1.120000,3.691186,0.436372,-1.339131,0.485570,0.038188,0.881470,2.2610,-29.3180
1.125000,3.674960,0.451253,-1.380375,0.491447,0.042980,0.874162,3.5307,-29.1711
1.130000,3.660306,0.471891,-1.424529,0.477338,0.071067,0.869822,4.7975,-29.0100
1.135000,3.637345,0.486622,-1.455483,0.490801,0.086373,0.856795,6.0605,-28.8350
1.140000,3.602034,0.505740,-1.493511,0.482866,0.121630,0.888996,7.3187,-28.6459
1.145000,3.571487,0.506563,-1.529674,0.476743,0.138701,0.860352,8.5710,-28.4431
1.150000,3.546164,0.514187,-1.580556,0.490918,0.150433,0.865910,9.8164,-28.2264
1.155000,3.511906,0.528629,-1.619215,0.478348,0.163293,0.887856,11.0541,-27.9961
1.160000,3.481734,0.528129,-1.667035,0.474441,0.191457,0.861899,12.2828,-27.7523
1.165000,3.434868,0.538163,-1.714069,0.453781,0.202712,0.860851,13.5018,-27.4951
1.170000,3.392328,0.541881,-1.750234,0.453202,0.231658,0.862645,14.7100,-27.2245
1.175000,3.344820,0.540748,-1.810705,0.438476,0.232065,0.862505,15.9064,-26.9408
1.180000,3.300694,0.548703,-1.861846,0.433383,0.240359,0.855311,17.0901,-26.6441
1.185000,3.256137,0.545225,-1.898818,0.442438,0.273749,0.846183,18.2601,-26.3345
1.190000,3.199827,0.531151,-1.939079,0.439001,0.304989,0.835671,19.4155,-26.0121
1.195000,3.141062,0.522532,-1.996213,0.425334,0.324211,0.851617,20.5554,-25.6772
1.200000,3.088345,0.510137,-2.041012,0.427442,0.331519,0.876424,21.6789,-25.3298
1.205000,3.027097,0.507627,-2.091117,0.424337,0.355271,0.856808,22.7851,-24.9702
1.210000,2.956788,0.489554,-2.138375,0.395975,0.373555,0.836743,23.8730,-24.5986
1.215000,2.900936,0.482778,-2.189014,0.401914,0.356942,0.805439,24.9419,-24.2150
1.220000,2.822935,0.470034,-2.240368,0.400680,0.408523,0.828746,25.9908,-23.8197
1.225000,2.762648,0.444219,-2.275520,0.382496,0.422750,0.809447,27.0189,-23.4129
1.230000,2.692990,0.434371,-2.332319,0.396047,0.432692,0.828016,28.0255,-22.9948
1.235000,2.615215,0.414716,-2.375230,0.361518,0.443154,0.805983,29.0096,-22.5655
1.240000,2.535156,0.396011,-2.425680,0.375820,0.472145,0.804937,29.9705,-22.1254
1.245000,2.460170,0.384483,-2.468942,0.371651,0.468688,0.784281,30.9075,-21.6745
1.250000,2.390084,0.352123,-2.515729,0.369506,0.490965,0.780283,31.8198,-21.2132
1.255000,2.308388,0.332691,-2.568716,0.362195,0.517925,0.789050,32.7067,-20.7416
1.260000,2.224799,0.305798,-2.608778,0.350258,0.525840,0.789632,33.5674,-20.2600
1.265000,2.129719,0.288456,-2.645829,0.343473,0.534226,0.772396,34.4012,-19.7686
1.270000,2.050912,0.270111,-2.691887,0.339956,0.526756,0.756804,35.2076,-19.2676
1.275000,1.966792,0.232937,-2.740055,0.321196,0.550899,0.780763,35.9858,-18.7573
1.280000,1.881009,0.212542,-2.770484,0.314835,0.561084,0.776744,36.7353,-18.2379
1.285000,1.785570,0.190291,-2.816228,0.305103,0.575544,0.751085,37.4554,-17.7097
1.290000,1.703914,0.167157,-2.848316,0.290156,0.590541,0.762007,38.1455,-17.1730
1.295000,1.592228,0.134475,-2.891143,0.291858,0.617249,0.735419,38.8052,-16.6279
1.300000,1.509871,0.101937,-2.936926,0.278035,0.624803,0.727973,39.4338,-16.0748
1.305000,1.416846,0.086476,-2.964618,0.281807,0.638150,0.740316,40.0309,-15.5139
1.310000,1.321393,0.057124,-2.998628,0.276301,0.622250,0.735329,40.5960,-14.9456
1.315000,1.220622,0.036152,-3.033986,0.236101,0.615987,0.738020,41.1287,-14.3699
1.320000,1.128351,0.009271,-3.069105,0.246254,0.650396,0.729121,41.6285,-13.7874
1.325000,1.025600,-0.003353,-3.100351,0.230699,0.644858,0.704298,42.0950,-13.1982
1.330000,0.926998,-0.030988,-3.128471,0.230412,0.662143,0.721927,42.5278,-12.6026
1.335000,0.832040,-0.056360,-3.159063,0.194792,0.666637,0.707049,42.9267,-12.0009
1.340000,0.736374,-0.074885,-3.180123,0.203114,0.672380,0.716437,43.2912,-11.3934
1.345000,0.625474,-0.091891,-3.217351,0.192584,0.684947,0.692535,43.6212,-10.7804
1.350000,0.539590,-0.103862,-3.241459,0.169428,0.699007,0.717202,43.9163,-10.1621
1.355000,0.438761,-0.122458,-3.272237,0.171070,0.672797,0.699954,44.1762,-9.5390
1.360000,0.345191,-0.144967,-3.274589,0.157915,0.683770,0.712378,44.4009,-8.9112
1.365000,0.235724,-0.147709,-3.313220,0.146091,0.688515,0.707674,44.5900,-8.2792
1.370000,0.138920,-0.168980,-3.330946,0.112641,0.690301,0.697047,44.7435,-7.6431
1.375000,0.042843,-0.177786,-3.356899,0.119247,0.680671,0.711917,44.8613,-7.0034
1.380000,-0.048714,-0.190515,-3.380381,0.108574,0.686366,0.706507,44.9432,-6.3602
1.385000,-0.149855,-0.188200,-3.395190,0.090712,0.708135,0.697997,44.9891,-5.7140
1.390000,-0.251235,-0.200418,-3.414397,0.091267,0.715605,0.686403,44.9991,-5.0650
1.395000,-0.348125,-0.207419,-3.434376,0.069200,0.691666,0.709747,44.9731,-4.4136
1.400000,-0.448570,-0.213263,-3.456428,0.060212,0.696782,0.683471,44.9112,-3.7600
1.405000,-0.540928,-0.209059,-3.459813,0.060650,0.691790,0.709805,44.8134,-3.1046
1.410000,-0.651674,-0.216019,-3.479819,0.032888,0.722019,0.717110,44.6797,-2.4477
1.415000,-0.738193,-0.200399,-3.485097,0.044953,0.703808,0.727733,44.5103,-1.7896
1.420000,-0.828159,-0.207902,-3.501716,0.038488,0.700699,0.714601,44.3054,-1.1307
1.425000,-0.919552,-0.202823,-3.509987,-0.003358,0.701155,0.726074,44.0650,-0.4712
1.430000,-1.017271,-0.192902,-3.520824,-0.001952,0.705089,0.733508,43.7894,0.1885
1.435000,-1.103224,-0.175238,-3.529327,-0.013009,0.702377,0.736480,43.4788,0.8481
